case_id,packet_index,seed,scheme,checktype,error_mode,burst_length,error_start,error_end,error_length,error_region,packet_hex,receiver_checktype,detected,invalid_metadata,validation_time_ns
2,5,8142027,crc8,4,single_bit,0,25,25,1,payload,41414242434358595a595a580400002c20636f6e7365717561752e2044756973206175746520697275726520646f6c6f7220696e207265707265686500000041,4,1,0,2195
2,6,8142027,crc8,4,single_bit,0,9,9,1,mac_header,41414242434358595a585a580400002c6e646572697420696e20766f6c7570746174652076656c697420657373652063696c6c756d20646f6c6f72650000004c,4,1,0,2162
2,7,8142027,crc8,4,single_bit,0,31,31,1,payload,41414242434358595a595a580400002c20657520667567696174206e756c6c602070617269617475722e204578636570746575722073696e74206f63000000e0,4,1,0,703
2,8,8142027,crc8,4,single_bit,0,32,32,1,payload,41414242434358595a595a580400002c63616563617420637570696461746174216e6f6e2070726f6964656e742c2073756e7420696e2063756c70610000006a,4,1,0,615
2,9,8142027,crc8,4,single_bit,0,47,47,1,payload,41414242434358595a595a580400002c20717569206f666669636961206465736572756e74206d6f6c6c697420616e686d20696420657374206c616200000093,4,1,0,717
2,10,8142027,crc8,4,single_bit,0,30,30,1,payload,41414242434358595a595a58040000056f72756d2e00000000000000000001000000000000000000000000000000000000000000000000000000000000000092,4,1,0,2150
3,0,8142028,checksum,0,single_bit,0,40,40,1,payload,41414242434358595a595a580000002c6c6f72656d20697073756d20646f6c6f722073697420616d64742c20636f6e7365637465747572206164697000001b65,0,1,0,3644
3,1,8142028,checksum,0,single_bit,0,0,0,1,mac_header,40414242434358595a595a580000002c697363696e6720656c69742e2053656420646f20656975736d6f642074656d706f7220696e6369646964756e000005cc,0,1,0,1385
3,2,8142028,checksum,0,single_bit,0,44,44,1,payload,41414242434358595a595a580000002c74207574206c61626f726520657420646f6c6f7265206d61676e6120606c697175612e20557420656e696d2000002c81,0,1,0,603
3,3,8142028,checksum,0,single_bit,0,56,56,1,payload,41414242434358595a595a580000002c6164206d696e696d2076656e69616d2c2071756973206e6f737472756420657865726369746174696e6e20750000126b,0,1,0,495
3,4,8142028,checksum,0,single_bit,0,36,36,1,payload,41414242434358595a595a580000002c6c6c616d636f206c61626f726973206e69736920747420616c697175697020657820656120636f6d6d6f646f00007047,0,1,0,443
3,5,8142028,checksum,0,single_bit,0,45,45,1,payload,41414242434358595a595a580000002c20636f6e7365717561742e2044756973206175746520697275726520646e6c6f7220696e207265707265686500002dc2,0,1,0,460
3,6,8142028,checksum,0,single_bit,0,40,40,1,payload,41414242434358595a595a580000002c6e646572697420696e20766f6c7570746174652076656c697520657373652063696c6c756d20646f6c6f726500006fcd,0,1,0,697
3,7,8142028,checksum,0,single_bit,0,45,45,1,payload,41414242434358595a595a580000002c20657520667567696174206e756c6c612070617269617475722e204578626570746575722073696e74206f6300003daf,0,1,0,476
3,8,8142028,checksum,0,single_bit,0,44,44,1,payload,41414242434358595a595a580000002c63616563617420637570696461746174206e6f6e2070726f6964656e752c2073756e7420696e2063756c70610000604b,0,1,0,3201
3,9,8142028,checksum,0,single_bit,0,58,58,1,payload,41414242434358595a595a580000002c20717569206f666669636961206465736572756e74206d6f6c6c697420616e696d20696420657374206c60620000a96c,0,1,0,789
3,10,8142028,checksum,0,single_bit,0,14,14,1,length_header,41414242434358595a595a58000001056f72756d2e00000000000000000000000000000000000000000000000000000000000000000000000000000000001949,0,1,1,539
3,0,8142028,crc16,1,single_bit,0,40,40,1,payload,41414242434358595a595a580100002c6c6f72656d20697073756d20646f6c6f722073697420616d64742c20636f6e736563746574757220616469700000b1b4,1,1,0,4695
3,1,8142028,crc16,1,single_bit,0,0,0,1,mac_header,40414242434358595a595a580100002c697363696e6720656c69742e2053656420646f20656975736d6f642074656d706f7220696e6369646964756e00007acb,1,1,0,997
3,2,8142028,crc16,1,single_bit,0,44,44,1,payload,41414242434358595a595a580100002c74207574206c61626f726520657420646f6c6f7265206d61676e6120606c697175612e20557420656e696d200000ed13,1,1,0,820
3,3,8142028,crc16,1,single_bit,0,56,56,1,payload,41414242434358595a595a580100002c6164206d696e696d2076656e69616d2c2071756973206e6f737472756420657865726369746174696e6e2075000048ae,1,1,0,617
3,4,8142028,crc16,1,single_bit,0,36,36,1,payload,41414242434358595a595a580100002c6c6c616d636f206c61626f726973206e69736920747420616c697175697020657820656120636f6d6d6f646f0000e20f,1,1,0,613
3,5,8142028,crc16,1,single_bit,0,45,45,1,payload,41414242434358595a595a580100002c20636f6e7365717561742e2044756973206175746520697275726520646e6c6f7220696e20726570726568650000d0bc,1,1,0,581
3,6,8142028,crc16,1,single_bit,0,40,40,1,payload,41414242434358595a595a580100002c6e646572697420696e20766f6c7570746174652076656c697520657373652063696c6c756d20646f6c6f726500006538,1,1,0,589
3,7,8142028,crc16,1,single_bit,0,45,45,1,payload,41414242434358595a595a580100002c20657520667567696174206e756c6c612070617269617475722e204578626570746575722073696e74206f630000cc9b,1,1,0,853
3,8,8142028,crc16,1,single_bit,0,44,44,1,payload,41414242434358595a595a580100002c63616563617420637570696461746174206e6f6e2070726f6964656e752c2073756e7420696e2063756c706100004130,1,1,0,597
3,9,8142028,crc16,1,single_bit,0,58,58,1,payload,41414242434358595a595a580100002c20717569206f666669636961206465736572756e74206d6f6c6c697420616e696d20696420657374206c60620000d04a,1,1,0,597
3,10,8142028,crc16,1,single_bit,0,14,14,1,length_header,41414242434358595a595a58010001056f72756d2e00000000000000000000000000000000000000000000000000000000000000000000000000000000005a25,1,1,1,435
3,0,8142028,crc32,2,single_bit,0,40,40,1,payload,41414242434358595a595a580200002c6c6f72656d20697073756d20646f6c6f722073697420616d64742c20636f6e73656374657475722061646970763f874d,2,1,0,9371
3,1,8142028,crc32,2,single_bit,0,0,0,1,mac_header,40414242434358595a595a580200002c697363696e6720656c69742e2053656420646f20656975736d6f642074656d706f7220696e6369646964756e9b087fc7,2,1,0,5009
3,2,8142028,crc32,2,single_bit,0,44,44,1,payload,41414242434358595a595a580200002c74207574206c61626f726520657420646f6c6f7265206d61676e6120606c697175612e20557420656e696d20c662fc45,2,1,0,1854
3,3,8142028,crc32,2,single_bit,0,56,56,1,payload,41414242434358595a595a580200002c6164206d696e696d2076656e69616d2c2071756973206e6f737472756420657865726369746174696e6e20759bf499a8,2,1,0,3244
3,4,8142028,crc32,2,single_bit,0,36,36,1,payload,41414242434358595a595a580200002c6c6c616d636f206c61626f726973206e69736920747420616c697175697020657820656120636f6d6d6f646f4e30dfe5,2,1,0,3230
3,5,8142028,crc32,2,single_bit,0,45,45,1,payload,41414242434358595a595a580200002c20636f6e7365717561742e2044756973206175746520697275726520646e6c6f7220696e20726570726568652d9c5d58,2,1,0,1688
3,6,8142028,crc32,2,single_bit,0,40,40,1,payload,41414242434358595a595a580200002c6e646572697420696e20766f6c7570746174652076656c697520657373652063696c6c756d20646f6c6f7265d2290007,2,1,0,1872
3,7,8142028,crc32,2,single_bit,0,45,45,1,payload,41414242434358595a595a580200002c20657520667567696174206e756c6c612070617269617475722e204578626570746575722073696e74206f63757d17e0,2,1,0,1612
3,8,8142028,crc32,2,single_bit,0,44,44,1,payload,41414242434358595a595a580200002c63616563617420637570696461746174206e6f6e2070726f6964656e752c2073756e7420696e2063756c70610b098a80,2,1,0,1756
