case_id,packet_index,seed,error_mode,burst_length,detected_checksum,detected_crc10,detected_crc16,detected_crc32,time_checksum,time_crc10,time_crc16,time_crc32,detected_by,failed_by
9,4,8142035,burst,17,1,1,1,1,2849,1326,796,1611,"checksum,crc10,crc16,crc32",
9,5,8142035,burst,17,1,1,1,1,2413,1277,2588,1452,"checksum,crc10,crc16,crc32",
9,6,8142035,burst,17,1,1,1,1,2512,1277,3712,1455,"checksum,crc10,crc16,crc32",
9,7,8142035,burst,17,1,1,1,1,2554,1291,611,1452,"checksum,crc10,crc16,crc32",
9,8,8142035,burst,17,1,1,1,1,2592,1286,396,1497,"checksum,crc10,crc16,crc32",
9,9,8142035,burst,17,1,1,1,1,2090,173,353,570,"checksum,crc10,crc16,crc32",
9,10,8142035,burst,17,1,1,1,1,506,199,216,275,"checksum,crc10,crc16,crc32",
11,0,8142037,single_bit,0,1,1,1,1,1623,4021,1712,6776,"checksum,crc10,crc16,crc32",
11,1,8142037,single_bit,0,1,1,1,1,3016,4990,1190,3791,"checksum,crc10,crc16,crc32",
11,2,8142037,single_bit,0,1,1,1,1,2478,3474,465,1829,"checksum,crc10,crc16,crc32",
11,3,8142037,single_bit,0,1,1,1,1,666,1507,414,1739,"checksum,crc10,crc16,crc32",
11,4,8142037,single_bit,0,1,1,1,1,459,1383,402,3862,"checksum,crc10,crc16,crc32",
11,5,8142037,single_bit,0,1,1,1,1,469,1276,404,3672,"checksum,crc10,crc16,crc32",
11,6,8142037,single_bit,0,1,1,1,1,449,1349,550,1640,"checksum,crc10,crc16,crc32",
11,7,8142037,single_bit,0,0,0,0,1,353,1289,487,1201,crc32,"checksum,crc10,crc16"
11,8,8142037,single_bit,0,1,1,1,1,482,1330,502,1243,"checksum,crc10,crc16,crc32",
11,9,8142037,single_bit,0,1,1,1,1,438,1283,399,1160,"checksum,crc10,crc16,crc32",
11,10,8142037,single_bit,0,1,1,1,1,512,485,296,315,"checksum,crc10,crc16,crc32",
12,0,8142038,single_bit,0,1,1,1,1,1601,4877,1591,3972,"checksum,crc10,crc16,crc32",
12,1,8142038,single_bit,0,1,1,1,1,2420,4010,1125,1801,"checksum,crc10,crc16,crc32",
12,2,8142038,single_bit,0,0,0,0,1,555,1986,473,1257,crc32,"checksum,crc10,crc16"
12,3,8142038,single_bit,0,1,1,1,1,625,2115,573,1262,"checksum,crc10,crc16,crc32",
12,4,8142038,single_bit,0,1,1,1,1,470,2136,441,1233,"checksum,crc10,crc16,crc32",
12,5,8142038,single_bit,0,1,1,1,1,468,2193,395,1142,"checksum,crc10,crc16,crc32",
12,6,8142038,single_bit,0,1,1,1,1,413,2022,414,1190,"checksum,crc10,crc16,crc32",
12,7,8142038,single_bit,0,1,1,1,1,422,2132,392,1149,"checksum,crc10,crc16,crc32",
12,8,8142038,single_bit,0,1,1,1,1,407,2011,526,1198,"checksum,crc10,crc16,crc32",
12,9,8142038,single_bit,0,1,1,1,1,740,4332,391,1160,"checksum,crc10,crc16,crc32",
12,10,8142038,single_bit,0,1,1,1,1,440,70581,388,1171,"checksum,crc10,crc16,crc32",
13,0,8142039,burst,21,1,1,1,1,794,725,438,406,"checksum,crc10,crc16,crc32",
13,1,8142039,burst,21,1,1,1,1,4002,1992,4269,2428,"checksum,crc10,crc16,crc32",
13,2,8142039,burst,21,1,1,1,1,619,304,448,302,"checksum,crc10,crc16,crc32",
13,3,8142039,burst,21,1,1,1,1,930,1612,709,1306,"checksum,crc10,crc16,crc32",
13,4,8142039,burst,21,1,1,1,1,2944,1429,456,1236,"checksum,crc10,crc16,crc32",
13,5,8142039,burst,21,1,1,1,1,852,1428,430,1228,"checksum,crc10,crc16,crc32",
13,6,8142039,burst,21,1,1,1,1,705,1379,432,1241,"checksum,crc10,crc16,crc32",
13,7,8142039,burst,21,1,1,1,1,536,186,187,227,"checksum,crc10,crc16,crc32",
13,8,8142039,burst,21,1,1,1,1,2883,1372,448,1321,"checksum,crc10,crc16,crc32",
13,9,8142039,burst,21,1,1,1,1,2729,1369,433,1268,"checksum,crc10,crc16,crc32",
13,10,8142039,burst,21,1,1,1,1,1728,186,199,182,"checksum,crc10,crc16,crc32",
14,0,8142040,burst,22,1,1,1,1,2844,3701,4278,5284,"checksum,crc10,crc16,crc32",
14,1,8142040,burst,22,1,1,1,1,4230,4674,2782,3588,"checksum,crc10,crc16,crc32",
14,2,8142040,burst,22,1,1,1,1,1257,4340,1031,1890,"checksum,crc10,crc16,crc32",
14,3,8142040,burst,22,1,1,1,1,470,781,499,431,"checksum,crc10,crc16,crc32",
14,4,8142040,burst,22,1,1,1,1,538,3858,787,1676,"checksum,crc10,crc16,crc32",
14,5,8142040,burst,22,1,1,1,1,277,520,335,284,"checksum,crc10,crc16,crc32",
14,6,8142040,burst,22,1,1,1,1,243,373,2030,247,"checksum,crc10,crc16,crc32",
14,7,8142040,burst,22,1,1,1,1,249,1530,248,233,"checksum,crc10,crc16,crc32",
14,8,8142040,burst,22,1,1,1,1,415,2569,1345,3667,"checksum,crc10,crc16,crc32",
14,9,8142040,burst,22,1,1,1,1,416,2109,697,1503,"checksum,crc10,crc16,crc32",
14,10,8142040,burst,22,1,1,1,1,791,2141,520,1404,"checksum,crc10,crc16,crc32",
15,0,8142041,burst,23,1,1,1,1,1228,603,1325,892,"checksum,crc10,crc16,crc32",
15,1,8142041,burst,23,1,1,1,1,2037,4315,4070,3299,"checksum,crc10,crc16,crc32",
